scenario_id,plm_feature,repeat,fold,train_rows,test_rows,train_positive_count,test_positive_count,selected_ace_weight,train_auroc,test_auroc,test_average_precision,test_ace_only_auroc,test_ace_only_average_precision,test_plm_only_auroc,test_plm_only_average_precision,test_top_10pct_positives,test_ace_only_top_10pct_positives
esm2_8m,raw,1,1,3321,891,41,11,0.65,0.7815957763236169,0.7931818181818181,0.04502549733041671,0.7943181818181818,0.04023929817529417,0.6951446280991735,0.02950764508949079,4,3
esm2_8m,raw,1,2,3402,810,42,10,0.7,0.793969671201814,0.7320000000000001,0.057237670168849994,0.7115,0.04148126760710371,0.6639999999999999,0.02360749824792732,1,2
esm2_8m,raw,1,3,3402,810,42,10,0.7,0.7667446145124717,0.8575,0.04825909257920407,0.836375,0.043693663569448295,0.7401249999999999,0.030425874096977487,4,3
esm2_8m,raw,1,4,3321,891,41,11,0.75,0.7909057108863772,0.75,0.04284616277819259,0.7151859504132232,0.03576807483556677,0.7433884297520661,0.031022105719332557,2,3
esm2_8m,raw,1,5,3402,810,42,10,0.7,0.7871456916099774,0.773625,0.08372105192035005,0.764125,0.08832628025171708,0.687,0.030618792217284564,4,4
esm2_8m,raw,2,1,3321,891,41,11,0.65,0.7815957763236169,0.7931818181818181,0.04502549733041671,0.7943181818181818,0.04023929817529417,0.6951446280991735,0.02950764508949079,4,3
esm2_8m,raw,2,2,3402,810,42,10,0.7,0.793969671201814,0.7320000000000001,0.057237670168849994,0.7115,0.04148126760710371,0.6639999999999999,0.02360749824792732,1,2
esm2_8m,raw,2,3,3402,810,42,10,0.7,0.7667446145124717,0.8575,0.04825909257920407,0.836375,0.043693663569448295,0.7401249999999999,0.030425874096977487,4,3
esm2_8m,raw,2,4,3321,891,41,11,0.75,0.7909057108863772,0.75,0.04284616277819259,0.7151859504132232,0.03576807483556677,0.7433884297520661,0.031022105719332557,2,3
esm2_8m,raw,2,5,3402,810,42,10,0.7,0.7871456916099774,0.773625,0.08372105192035005,0.764125,0.08832628025171708,0.687,0.030618792217284564,4,4
esm2_8m,raw,3,1,3321,891,41,11,0.65,0.7815957763236169,0.7931818181818181,0.04502549733041671,0.7943181818181818,0.04023929817529417,0.6951446280991735,0.02950764508949079,4,3
esm2_8m,raw,3,2,3402,810,42,10,0.7,0.793969671201814,0.7320000000000001,0.057237670168849994,0.7115,0.04148126760710371,0.6639999999999999,0.02360749824792732,1,2
esm2_8m,raw,3,3,3402,810,42,10,0.7,0.7667446145124717,0.8575,0.04825909257920407,0.836375,0.043693663569448295,0.7401249999999999,0.030425874096977487,4,3
esm2_8m,raw,3,4,3321,891,41,11,0.75,0.7909057108863772,0.75,0.04284616277819259,0.7151859504132232,0.03576807483556677,0.7433884297520661,0.031022105719332557,2,3
esm2_8m,raw,3,5,3402,810,42,10,0.7,0.7871456916099774,0.773625,0.08372105192035005,0.764125,0.08832628025171708,0.687,0.030618792217284564,4,4
esm2_8m,raw,4,1,3321,891,41,11,0.65,0.7815957763236169,0.7931818181818181,0.04502549733041671,0.7943181818181818,0.04023929817529417,0.6951446280991735,0.02950764508949079,4,3
esm2_8m,raw,4,2,3402,810,42,10,0.7,0.793969671201814,0.7320000000000001,0.057237670168849994,0.7115,0.04148126760710371,0.6639999999999999,0.02360749824792732,1,2
esm2_8m,raw,4,3,3402,810,42,10,0.7,0.7667446145124717,0.8575,0.04825909257920407,0.836375,0.043693663569448295,0.7401249999999999,0.030425874096977487,4,3
