scenario_id,plm_feature,ace_weight,plm_weight,eval_rows,positive_count,matched_decoy_count,top_1pct_count,top_5pct_count,top_10pct_count,best_positive_rank,median_positive_rank,mean_positive_rank,auroc_vs_matched_decoys,average_precision_vs_matched_decoys
esm2_8m,length_z,1.0,0.0,4212,52,4160,4,8,16,25,912.5,1005.25,0.7647235576923077,0.036416994417071344
esm2_35m,raw,0.0,1.0,4212,52,4160,1,4,8,41,1334.0,1446.0192307692307,0.6587694156804734,0.020130993673809505
esm2_35m,raw,0.05,0.95,4212,52,4160,1,4,9,39,968.0,1365.326923076923,0.6781666050295858,0.021632464657289498
esm2_35m,raw,0.1,0.9,4212,52,4160,1,5,9,37,923.5,1305.8461538461538,0.6924648668639053,0.02317082774861219
esm2_35m,raw,0.15,0.85,4212,52,4160,1,5,11,38,908.5,1262.1923076923076,0.7029585798816569,0.024829060919816546
esm2_35m,raw,0.2,0.8,4212,52,4160,2,6,12,40,914.5,1229.576923076923,0.7107988165680473,0.026377328089255383
esm2_35m,raw,0.25,0.75,4212,52,4160,2,8,12,18,892.0,1199.7115384615386,0.7179779955621302,0.02869638550614233
esm2_35m,raw,0.3,0.7,4212,52,4160,2,7,12,9,862.5,1172.9038461538462,0.7244221523668639,0.03146537002085124
esm2_35m,raw,0.35,0.65,4212,52,4160,3,7,12,9,853.5,1146.576923076923,0.7307507396449704,0.03322315645948617
esm2_35m,raw,0.4,0.6,4212,52,4160,3,7,13,9,845.0,1122.2884615384614,0.7365893121301774,0.03393050394321058
esm2_35m,raw,0.45,0.55,4212,52,4160,3,7,13,8,837.5,1096.0576923076924,0.7428947855029586,0.03492086544757695
esm2_35m,raw,0.5,0.5,4212,52,4160,3,7,14,8,833.5,1073.0576923076924,0.7484236316568047,0.035762173309990465
esm2_35m,raw,0.55,0.45,4212,52,4160,3,7,14,8,801.5,1052.2884615384614,0.7534162352071007,0.036476361344145114
esm2_35m,raw,0.6,0.4,4212,52,4160,3,8,13,8,769.5,1029.7692307692307,0.7588295118343195,0.037226729833529267
esm2_35m,raw,0.65,0.35,4212,52,4160,3,8,14,8,783.0,1014.0384615384615,0.7626109467455622,0.03769904895806625
esm2_35m,raw,0.7,0.3,4212,52,4160,4,7,13,7,773.0,1002.75,0.7653245192307694,0.03853445256979002
esm2_35m,raw,0.75,0.25,4212,52,4160,4,7,14,4,797.5,995.1153846153846,0.7671597633136095,0.040538741891162904
esm2_35m,raw,0.8,0.2,4212,52,4160,4,7,14,7,814.5,991.0576923076923,0.7681351701183432,0.038453934274927735
esm2_35m,raw,0.85,0.15,4212,52,4160,4,6,14,11,852.0,990.4038461538462,0.7682923446745562,0.03782498850610886
esm2_35m,raw,0.9,0.1,4212,52,4160,4,6,17,19,864.5,994.0192307692307,0.7674232618343195,0.03699525827139912
esm2_35m,raw,0.95,0.05,4212,52,4160,4,8,17,27,897.5,999.4423076923077,0.7661196375739645,0.03646624308991359
esm2_35m,raw,1.0,0.0,4212,52,4160,4,8,16,25,912.5,1005.25,0.7647235576923077,0.036416994417071344
esm2_35m,length_z,0.0,1.0,4212,52,4160,0,2,8,53,1250.0,1412.326923076923,0.6668685281065089,0.020024327948013683
esm2_35m,length_z,0.05,0.95,4212,52,4160,0,4,8,52,986.0,1327.826923076923,0.6871810281065089,0.021557002743335104
esm2_35m,length_z,0.1,0.9,4212,52,4160,0,4,8,50,907.0,1266.0576923076924,0.7020294008875739,0.023204416286911906
esm2_35m,length_z,0.15,0.85,4212,52,4160,0,5,12,46,865.5,1221.1538461538462,0.7128235946745562,0.02511958241574054
esm2_35m,length_z,0.2,0.8,4212,52,4160,1,6,13,23,862.5,1187.6346153846155,0.720881102071006,0.026915303867256005
esm2_35m,length_z,0.25,0.75,4212,52,4160,1,7,13,11,881.0,1156.1923076923076,0.728439349112426,0.029894821194196203
esm2_35m,length_z,0.3,0.7,4212,52,4160,3,7,12,8,871.0,1125.8653846153845,0.7357294748520711,0.03269358695085424
esm2_35m,length_z,0.35,0.65,4212,52,4160,3,7,12,8,852.5,1098.7307692307693,0.7422522189349112,0.03388846380532121
esm2_35m,length_z,0.4,0.6,4212,52,4160,3,7,12,8,838.5,1071.7307692307693,0.7487426035502959,0.034651815763744785
esm2_35m,length_z,0.45,0.55,4212,52,4160,3,7,13,8,815.0,1047.0961538461538,0.7546643860946747,0.035609521969167286
esm2_35m,length_z,0.5,0.5,4212,52,4160,3,7,13,7,785.0,1025.8846153846155,0.7597633136094674,0.03667605190054963
esm2_35m,length_z,0.55,0.45,4212,52,4160,3,7,13,7,772.0,1007.7115384615385,0.7641318417159764,0.03785497146368898
esm2_35m,length_z,0.6,0.4,4212,52,4160,4,7,13,7,773.0,993.6153846153846,0.7675203402366864,0.0383671897548253
esm2_35m,length_z,0.65,0.35,4212,52,4160,4,6,15,8,749.0,983.5576923076923,0.7699380547337278,0.038409303991961775
esm2_35m,length_z,0.7,0.3,4212,52,4160,4,7,15,7,756.5,979.2692307692307,0.7709689349112425,0.038936058763774616
esm2_35m,length_z,0.75,0.25,4212,52,4160,4,7,15,5,828.0,977.25,0.7714543269230769,0.03984392316060186
esm2_35m,length_z,0.8,0.2,4212,52,4160,4,7,13,8,859.5,979.3269230769231,0.7709550665680474,0.03830194086309079
esm2_35m,length_z,0.85,0.15,4212,52,4160,4,7,15,11,874.5,983.8653846153846,0.7698640902366864,0.03778679449726239
esm2_35m,length_z,0.9,0.1,4212,52,4160,4,8,17,18,880.0,989.4038461538462,0.7685327292899408,0.037122614205559276
esm2_35m,length_z,0.95,0.05,4212,52,4160,4,8,17,27,908.0,997.5961538461538,0.766563424556213,0.036685027420450995
esm2_35m,length_z,1.0,0.0,4212,52,4160,4,8,16,25,912.5,1005.25,0.7647235576923077,0.036416994417071344
esm2_150m,raw,0.0,1.0,4212,52,4160,1,2,12,43,1175.0,1384.3461538461538,0.673594674556213,0.022140958784096318
esm2_150m,raw,0.05,0.95,4212,52,4160,1,2,13,38,1039.5,1313.326923076923,0.6906666050295859,0.023474567650188502
esm2_150m,raw,0.1,0.9,4212,52,4160,1,3,12,38,831.0,1254.673076923077,0.7047660872781065,0.024825073259065182
esm2_150m,raw,0.15,0.85,4212,52,4160,1,3,13,38,801.0,1206.9038461538462,0.716249075443787,0.026389611896724303
esm2_150m,raw,0.2,0.8,4212,52,4160,1,4,16,38,735.5,1172.1923076923076,0.7245931952662721,0.027859448349390387
esm2_150m,raw,0.25,0.75,4212,52,4160,2,7,16,28,706.0,1146.3461538461538,0.7308062130177514,0.029587061220798475
esm2_150m,raw,0.3,0.7,4212,52,4160,1,7,15,14,699.5,1122.9807692307693,0.7364228920118343,0.03174971745299945
esm2_150m,raw,0.35,0.65,4212,52,4160,2,8,14,10,702.0,1101.0192307692307,0.7417021079881657,0.03361941888794566
esm2_150m,raw,0.4,0.6,4212,52,4160,2,8,14,9,717.0,1079.173076923077,0.7469535872781065,0.03513434257910927
esm2_150m,raw,0.45,0.55,4212,52,4160,3,8,14,7,725.5,1056.6538461538462,0.7523668639053254,0.036303337401981564
esm2_150m,raw,0.5,0.5,4212,52,4160,4,8,15,8,733.5,1032.576923076923,0.7581545857988166,0.03678998351428926
esm2_150m,raw,0.55,0.45,4212,52,4160,4,8,14,8,719.0,1010.8076923076923,0.7633875739644971,0.03753978205659683
esm2_150m,raw,0.6,0.4,4212,52,4160,4,8,14,7,707.0,992.1346153846154,0.7678762943786983,0.0383161898994721
esm2_150m,raw,0.65,0.35,4212,52,4160,4,8,15,8,740.5,977.2692307692307,0.7714497041420119,0.038625542925642825
esm2_150m,raw,0.7,0.3,4212,52,4160,4,8,15,9,728.0,968.4230769230769,0.7735761834319527,0.038641207980613664
esm2_150m,raw,0.75,0.25,4212,52,4160,4,7,14,12,738.0,964.5192307692307,0.7745146079881657,0.038528644434547885
esm2_150m,raw,0.8,0.2,4212,52,4160,4,7,14,12,784.0,965.25,0.7743389423076923,0.03802746951307352
esm2_150m,raw,0.85,0.15,4212,52,4160,4,8,14,10,792.5,970.1346153846154,0.7731647559171597,0.03805487798194365
esm2_150m,raw,0.9,0.1,4212,52,4160,4,8,16,18,845.0,981.1153846153846,0.7705251479289941,0.03730696941391207
esm2_150m,raw,0.95,0.05,4212,52,4160,4,8,17,25,889.5,992.0192307692307,0.7679040310650888,0.03681636046245005
esm2_150m,raw,1.0,0.0,4212,52,4160,4,8,16,25,912.5,1005.25,0.7647235576923077,0.036416994417071344
esm2_150m,length_z,0.0,1.0,4212,52,4160,0,3,9,59,1090.5,1363.9423076923076,0.6784994452662721,0.021707217298679415
esm2_150m,length_z,0.05,0.95,4212,52,4160,0,3,11,57,952.0,1286.6538461538462,0.6970784023668639,0.023048798973809324
esm2_150m,length_z,0.1,0.9,4212,52,4160,0,4,11,55,771.5,1224.7115384615386,0.7119683801775148,0.02461284974662912
esm2_150m,length_z,0.15,0.85,4212,52,4160,0,4,13,51,747.5,1179.1153846153845,0.7229289940828403,0.02627991732587403
esm2_150m,length_z,0.2,0.8,4212,52,4160,1,7,13,23,692.5,1145.4038461538462,0.7310327292899408,0.028342654978233527
esm2_150m,length_z,0.25,0.75,4212,52,4160,1,7,13,17,693.5,1118.3076923076924,0.7375462278106508,0.0302535723511261
esm2_150m,length_z,0.3,0.7,4212,52,4160,2,8,14,10,685.5,1095.2115384615386,0.7430981878698225,0.032781989261274375
esm2_150m,length_z,0.35,0.65,4212,52,4160,3,7,13,9,702.5,1071.6923076923076,0.7487518491124261,0.03438158428533191
esm2_150m,length_z,0.4,0.6,4212,52,4160,4,7,13,8,725.5,1046.4038461538462,0.7548308062130178,0.0355844943874697
esm2_150m,length_z,0.45,0.55,4212,52,4160,4,7,11,7,700.0,1022.5769230769231,0.7605584319526627,0.03665520384671836
esm2_150m,length_z,0.5,0.5,4212,52,4160,4,7,12,6,686.0,1000.0576923076923,0.7659717085798817,0.03778655685336816
esm2_150m,length_z,0.55,0.45,4212,52,4160,4,8,13,6,674.5,981.8076923076923,0.770358727810651,0.038546454430964716
esm2_150m,length_z,0.6,0.4,4212,52,4160,4,8,13,6,707.0,967.6538461538462,0.7737610946745563,0.03904132957196552
esm2_150m,length_z,0.65,0.35,4212,52,4160,4,8,13,6,711.5,960.7884615384615,0.7754114275147929,0.039513955592374084
esm2_150m,length_z,0.7,0.3,4212,52,4160,4,8,13,6,734.5,957.9807692307693,0.7760863535502959,0.03988892807238654
esm2_150m,length_z,0.75,0.25,4212,52,4160,4,8,13,12,784.0,958.9038461538462,0.7758644600591715,0.03808241072164441
esm2_150m,length_z,0.8,0.2,4212,52,4160,4,8,13,13,816.5,964.0576923076923,0.7746255547337279,0.03769351837157167
esm2_150m,length_z,0.85,0.15,4212,52,4160,4,8,14,10,830.0,973.2884615384615,0.7724066198224852,0.03793829561370407
esm2_150m,length_z,0.9,0.1,4212,52,4160,4,8,16,17,868.0,982.9423076923077,0.7700859837278107,0.03750377715746863
esm2_150m,length_z,0.95,0.05,4212,52,4160,4,9,17,25,898.5,993.4423076923077,0.7675619452662722,0.036725483803438215
esm2_150m,length_z,1.0,0.0,4212,52,4160,4,8,16,25,912.5,1005.25,0.7647235576923077,0.036416994417071344
