scenario_id,plm_feature,repeats,folds,fold_results,mean_selected_ace_weight,median_selected_ace_weight,mean_test_auroc,sd_test_auroc,mean_ace_only_auroc,mean_plm_only_auroc,mean_delta_vs_ace,median_delta_vs_ace,win_count_vs_ace,win_rate_vs_ace,sign_test_p_value_vs_ace,mean_test_average_precision,mean_ace_only_average_precision,mean_plm_only_average_precision,mean_top_10pct_positives,mean_ace_only_top_10pct_positives,label_count_positive,label_count_matched_decoy,group_count
esm2_8m,raw,20,5,100,0.7,0.7,0.7812613636363637,0.04361608396795334,0.7643008264462811,0.7059316115702479,0.016960537190082635,0.020500000000000074,80,0.8,1.1159089057251951e-09,0.05541789495540268,0.049901716887826006,0.029036383074202542,3.0,3.0,52,4160,52
esm2_8m,length_z,20,5,100,0.65,0.65,0.7835460743801653,0.038439274349035005,0.7643008264462811,0.7019190082644629,0.019245247933884314,0.015375000000000028,80,0.8,1.1159089057251951e-09,0.05707720674866838,0.049901716887826006,0.029596259267824214,3.0,3.0,52,4160,52
esm2_35m,raw,20,5,100,0.84,0.85,0.7647545454545455,0.04363821204980982,0.7643008264462811,0.6573685950413223,0.00045371900826445265,-0.0026249999999999885,40,0.4,0.05688793364098079,0.051137003256121735,0.049901716887826006,0.023993593241571243,2.8,3.0,52,4160,52
esm2_35m,length_z,20,5,100,0.75,0.75,0.7647237603305785,0.03974586132711367,0.7643008264462811,0.6606747933884297,0.0004229338842975272,-0.0036249999999998783,40,0.4,0.05688793364098079,0.04899721297232889,0.049901716887826006,0.024169500465196517,2.6,3.0,52,4160,52
esm2_150m,raw,20,5,100,0.77,0.8,0.7702388429752066,0.04002997914911371,0.7643008264462811,0.6756776859504132,0.00593801652892556,0.00837499999999991,80,0.8,1.1159089057251951e-09,0.04908134494617067,0.049901716887826006,0.026600551537213274,2.8,3.0,52,4160,52
esm2_150m,length_z,20,5,100,0.71,0.75,0.7693847107438017,0.03822420735138074,0.7643008264462811,0.6715154958677686,0.0050838842975206465,0.006250000000000089,80,0.8,1.1159089057251951e-09,0.05003901014375513,0.049901716887826006,0.026213353975985947,2.6,3.0,52,4160,52
