panel_id,baseline_id,baseline_family,total_candidates,known_positive_count,top_1pct_count,top_1pct_fraction,top_1pct_enrichment_over_random,top_1pct_hypergeom_p,top_5pct_count,top_5pct_fraction,top_5pct_hypergeom_p,top_10pct_count,top_10pct_fraction,top_10pct_hypergeom_p,top_100_count,mean_positive_rank,median_positive_rank,best_positive_rank,auroc_vs_all_negatives,auroc_vs_matched_decoys,average_precision_vs_all_negatives
v4,peptideranker_style_mooney2012_composition_v1,external_literature_inspired_general_bioactivity,56494,31,0,0.0,0.0,1.0,0,0.0,1.0,3,0.0967741935483871,0.6115518232206444,0,22525.58064516129,16073.0,4066,0.6012541470206295,0.6234521331945889,0.0007456406586970518
v5,peptideranker_style_mooney2012_composition_v1,external_literature_inspired_general_bioactivity,57547,44,0,0.0,0.0,1.0,1,0.022727272727272728,0.8954713361418442,3,0.06818181818181818,0.8297643079071214,0,32040.75,34114.0,2099,0.44330849141467715,0.4936596074380165,0.0006613797178339767
v6,peptideranker_style_mooney2012_composition_v1,external_literature_inspired_general_bioactivity,58192,52,1,0.019230769230769232,1.9228125826063969,0.40721292624476757,1,0.019230769230769232,0.9306665464933609,3,0.057692307692307696,0.9035200134658334,0,31436.173076923078,31839.0,391,0.459731979836469,0.5585244082840237,0.0008377046267481075
